Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Citadel Realty,502445,,Construction,36.55,25.3,37.63,1.44,64.94,1.33,0.27,35,0.79,12.86,9.77,11.14,91.8,1.14,3.17,12.11,7.19,10.68,33.42,18.4,-16.33,34.24,7.22,8.17,9.96,74.46,48.11,25.95,3.43,13.21,2.8,-13.5,2.55,1.14,9.67,0.72,-0.71,-0.3,0.08,-1.35,9.77,9.26,0,-1.35,-2.3,-0.69,2.4,21.55
CitiPort Fin.,531235,,Finance & Investments,20.23,209,24.42,0.1,29.01,0,0.01,0,0.17,142.86,4.14,3.55,28.21,0.03,0.39,15.98,16.72,50,14.47,,16.99,11.61,0.66,0.76,0.97,1.66,1.67,8.95,0.67,44.44,0.27,12.59,0.03,0.03,8.66,0.02,-0.03,-0.03,-0.03,-3.95,4.14,2.68,0,-3.95,-0.76,-0.77,2.02,1.91
City Union Bank,532210,CUB,Banks - Private Sector,165.65,12.08,12.51,13.71,0,7.66,254.82,16.87,1374.12,11.89,6.16,6.78,68.99,1015.73,5270.57,8.43,6.95,8.36,19.67,8.33,10.57,11.35,12.07,13.11,13.62,28.86,0.86,-4.02,1.53,11.8,4714.34,7.51,2991.51,1015.73,7.55,756.41,329.79,28.52,-37.66,1460.97,6.16,6.24,0.6,1702.1,4460.13,4695.63,1.64,12
Cityman,521210,,Construction,26.46,,37.63,-0.3,71.81,,-0.08,57.89,0,,11.45,-4.69,,-0.35,0,,,-111.71,-25.77,0.55,-2.57,2.77,,,,28.82,71.13,,-4.59,-100,11.2,,3.19,-0.35,,0.36,-0.27,3.04,0.2,2.45,11.45,5.36,0,2.45,1.91,1.07,,55.65
Clean Science,543318,CLEAN,Chemicals,1488.25,64.77,42.14,22.97,74.98,0,70.27,-12.74,227.53,4.92,40.23,29.53,41.96,244.03,791.49,15.59,15.01,-17.35,7.11,20.08,,,32.55,28.97,22.05,11.76,,,19.15,-15.42,935.8,,402.54,244.03,,221.2,10.38,96.28,-45.48,94.3,40.23,48.05,0.33,643.7,996.65,1126.35,13.13,-1.09
CLIO Infotech,530839,,Computers - Software - Medium / Small,5.99,329.93,38.53,0.02,6.93,0.44,0.27,420,0.09,800,0.28,0.13,-100,0.02,0.15,35.72,13.4,106.67,26.94,16,21.9,-15.67,-3.23,-2.6,0.19,27.45,34.9,24.78,0.13,650,0.02,-3.32,-0.08,0.02,-11.52,-0.36,-0.2,-0.13,0.23,-0.48,0.28,0.15,0,-0.48,-0.74,-2.07,0.63,7.73
CMI,517330,CMICABLES,Cables - Power,4.5,,39.26,-59.59,0.5,,-1.85,83.35,7.9,230.54,-12.3,-8.19,-67.86,-3.39,24.02,-64.63,-47.64,96.65,,,,,,,,-46.43,-55.29,-46.54,-5.28,-26.9,67.75,-28.9,-85.32,-110.09,-12.98,-24.67,24.87,-75.36,-6.81,-82.31,-12.3,-2.82,0,-96.16,-38.91,-80.03,,-32.33
CMS Info Systems,543441,CMSINFO,Miscellaneous,514.8,24.14,34.81,21.33,0,0.09,91.42,14.38,627.08,25.06,27.9,26.19,26.47,347.14,2264.68,20.14,14.59,17.96,27.4,29.88,,,19.42,20.16,19.78,36.55,,,14.59,18.28,1914.73,,537.74,347.14,,233.01,333.8,215.4,31.97,522.44,27.9,27.11,1.11,1103.16,1502.76,,4.21,39.28
CNI Research,512018,,Finance & Investments,8.15,111.38,24.42,0.07,37.11,0,0.27,152.94,2.78,198.92,5.37,6.98,8.16,0.84,10.42,,20.92,197.67,30.7,29.77,38.22,30.2,-4.49,5.05,6.89,282.63,60.53,26.97,6.88,8.65,9.59,28.51,-0.86,0.84,13.68,-0.44,0.15,0.1,-0.59,0.48,5.37,-8.17,0,0.48,0.34,0.08,6.28,144.01
Coal India,533278,COALINDIA,Mining / Minerals / Metals,493.8,8.15,23.01,60.69,63.13,0.08,8640.45,25.78,37410.39,-1.94,63.07,65.11,33.71,37369.13,142323.98,16.49,7.4,32.97,43.29,16.43,22.01,9.49,50.19,51.77,53.39,111.25,49.87,16.02,16.7,2.95,138251.91,8.94,36809.73,37369.13,7.26,22448.8,1794.57,20479.44,-1397.92,51384.69,63.07,61.41,4.91,94896.08,110465.74,147936.18,3.68,28.48
Coastal Roadways,520131,,Miscellaneous,34.23,13.4,40.42,5.45,74.99,0.02,0.65,400,10.7,18.1,5.51,6.08,5.41,1.06,38.24,5.67,-6.01,47.22,53.7,24.12,22.6,8.5,1.48,4.9,5.45,-14.51,17.69,3.44,4.69,-1.82,38.95,-5.37,1.84,2.26,-4.2,0.21,0.15,6.4,5.49,9.99,5.51,2.29,0,3.58,6.89,13.72,0.69,-19.5
Cochin Malabar,508571,,Miscellaneous,192,67.97,60.97,2.78,62.72,,1,688.24,0,,12.52,65.15,,0.5,0,,,176.92,40.63,26.83,17.11,7.39,,,,113.21,47.36,25.49,30.77,,0,,-0.13,0.5,,-0.37,1.08,-0.15,0.04,0.82,12.52,0.65,0,0.87,0.55,-0.15,,85.96
Cochin Minerals,513353,,Chemicals,290.8,26.51,42.14,10.97,51.17,0.04,-6.92,-153.23,100.82,-6.5,32.39,26.12,12.61,8.59,300.44,7.9,6.1,-84.78,1.94,9.45,19.59,15.47,16.69,20.08,5.83,-10.98,25.33,12.66,4.06,-32.32,443.91,10.55,72.35,8.59,8.63,17.07,4.46,-4.34,-0.23,7.71,32.39,28.83,2.75,10.16,37.17,58.52,1.53,7.78
Coforge,532541,COFORGE,Computers - Software - Medium / Small,5760.65,48.11,38.53,130.7,0,0.2,229.2,42.25,2358.5,8.69,30.21,28.32,15.55,799.46,9179,25.33,20.08,9.42,19.41,14.36,17.07,13.39,22.93,24.73,23.83,24.92,9.76,34.33,14.09,14.53,8014.6,18.47,1282,835.6,14.82,620.5,643.6,796.8,123.1,2058.5,30.21,28.56,1.32,2619.5,3678.7,4513.8,9.82,-7.65
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,2995.55,60.89,61.03,48.67,51,0.04,379.82,19.59,1490.01,10.32,89.32,96.8,33.47,1337.94,5680.43,5.47,4.95,26.8,8.9,12.1,12.75,10.52,67.63,69.83,74.52,68.35,20.22,21.38,44.01,8.69,5226.2,5.21,1547.02,1323.66,4.73,1064.78,1123.43,1106.77,81.99,3806.38,89.32,85.05,1.6,4000.95,5714.39,7391.32,43.47,22
Colinz Labs,531210,,Pharmaceuticals - Indian - Formulations,80.9,75.48,27.56,1.07,66,0.06,0.14,7.69,1.63,-5.23,7.53,7.7,7.68,0.49,7.03,4.5,-1.52,2.08,32.64,32.5,19.6,21.48,4.36,5.47,5.73,124.72,48.11,57.45,4.54,-1.68,7.15,-1.92,0.63,0.49,-0.53,0.33,1.03,0.4,0.52,1.86,7.53,6.07,0,1.9,4.64,5.1,4.13,93.73
Comfort Intech,531216,,Breweries & Distilleries,9.22,17.27,32.79,0.54,57.46,0.17,2.87,353.98,61.24,96.41,6.5,6.51,6.09,17.08,157.15,22.73,24.1,150.07,18.71,169.56,43.7,21.97,6.87,8.49,11.93,100.87,73.02,75.74,7.81,11.1,141.45,48.47,8.1,17.08,29.02,7.93,-9.22,-3.35,0.03,-8.2,6.5,5.08,0.65,-6.84,-20.64,-13.85,1.78,6.1
Competent Auto,531041,,Trading,562.55,12.4,34.42,44.84,74.92,0.94,9.61,8.89,498.79,9.57,9.23,10.3,3.73,27.89,2117.28,21.15,11.62,15.44,17.32,12.38,12.86,12.23,7.26,7.9,8.54,105.16,40.17,34.51,4.4,23.35,1716.43,8.1,63.52,27.56,10.2,20.19,-88.95,-6.84,-26.75,-93.32,9.23,8.54,0.18,0.86,153.33,72.97,1.01,38.27
Compuage Info.,532456,COMPINFO,Trading,3.46,,34.42,-13.33,42.65,2.74,-137.42,-1417.55,388.94,-69.83,6.43,-6.27,-1.3,-114.36,3739.44,-4.04,-1.7,-527.51,,,,,-1.36,-10.17,-54.28,-77.24,-51.8,-22.68,-10.4,-11.12,4207.5,2.68,98.03,-114.36,6.71,-2.75,55.05,140.84,-2.72,135.2,6.43,9.72,0,143.66,127.11,117.53,0.17,-63.19
Compucom Soft.,532339,COMPUSOFT,Computers - Education,28.42,42.38,37.51,0.67,70.88,0.27,0.18,-92.62,8.45,-65.41,7.97,5.87,16.74,5.31,70.32,59.68,0.64,23.8,48.24,12.99,12.42,-5.52,3.61,5.42,3.77,34.37,27.07,26.86,2.98,28.74,54.62,3.12,11.36,5.59,-0.64,4.81,-37.68,17.26,18.36,-31.9,7.97,5.49,1.41,1.33,16.52,38.77,1.58,-9.35
Computer Point,507833,,Trading,11.4,3420,34.42,0,1.83,0,-0.01,,0.02,,0.03,0.03,-6700,0.01,0.02,25.99,-60.07,0,,-12.94,-24.27,-12.94,0.02,0.03,0.03,352.38,151.11,65.43,0.03,100,0.01,-68.04,-1.5,0.01,-54.15,0.01,-2.72,-1.59,-0.06,-4.48,0.03,0.03,0,-4.47,-6.85,-10.37,1.02,87.5
Conart Engineers,522231,,Construction,153.4,15.64,23.11,9.81,44.55,0,1.79,171.21,26.44,209.96,10.15,12.91,7.2,3.08,48.89,31.08,9.52,60.42,94.28,12.89,13.36,42.37,6.48,8.4,11.34,273.24,68.7,41.39,9.79,37.76,35.49,13.28,2.93,3.08,19.23,1.48,0.93,2.15,2.2,-0.03,10.15,7.72,0,3.5,7.42,8.18,1.66,131.72
Confidence Petro,526829,CONFIPET,Miscellaneous,81.17,25.45,34.81,3.19,56.21,0.54,13.93,-48.36,630.54,-5.69,14.4,13.5,13.32,101.37,2698.47,46.22,21.85,9.26,27.07,8.7,53.71,49.08,11.78,12.01,10.16,6.45,9.51,18.49,5.48,22.17,2208.83,27.34,222.62,105.27,25.95,77.14,262.95,-348.35,51.2,-190.57,14.4,14.21,0.12,229.46,393.24,526.95,2.18,-12.2
Cons. Finvest,,CONSOFINVT,Finance & Investments,194.28,13.53,24.42,14.36,74.89,0,16.32,-94.63,6.06,-98.5,24.39,6.56,98.44,46.46,47.96,61.81,42.93,-85.15,75.47,122.71,-14.06,30.21,14.68,19.65,5.99,42.54,18.42,37.8,5.2,-88.51,417.32,33.22,410.81,46.46,30.97,74.83,16.37,7.69,-0.03,17.42,24.39,15.68,0,17.43,34.11,98.91,0.78,-38.99
Cont. Controls,531460,,Electric Equipment,12.77,,61.85,-0.5,24.56,0,-0.02,94.44,0,-100,-13.93,-8.94,,-0.31,0,,,82.08,18.39,9.43,,,-26.58,-37.68,-14,180.66,44.41,22.87,-7.01,-100,5.97,,-0.57,-0.31,,-1.09,0.04,2.54,-0.08,0.65,-13.93,-10.36,0,0.81,2.75,3.25,3.81,107.64
Cont. Petroleums,523232,,Chemicals,73.32,14.94,42.14,4.91,34.41,0.28,1.4,-20.9,19.32,-29.49,20.57,16.5,10.88,2.73,54.98,-17.99,2.21,-30.71,6.66,29.83,28.19,17.59,17.88,18.67,12.01,39.29,14.69,43.91,5.64,-44.1,98.36,13.34,7.43,2.73,7.19,2.87,1.28,2.03,-0.37,5.48,20.57,19.29,0,9.22,15.06,20.25,1.69,-5.58
Container Corpn.,531344,CONCOR,Miscellaneous,1040.3,50.28,40.42,20.69,54.8,0.08,317.83,13.55,2325.13,6.45,13.43,13.69,22.63,1260.59,8653.41,10.42,4.46,7.75,31.83,0.64,5.74,2.94,9.31,10.56,10.94,54.89,15.57,13.27,9.18,5.93,8169.12,5.42,1867.8,1262.09,5.16,992.14,602.55,835.39,-41.2,2203.95,13.43,12.23,1.06,4164.29,9479.12,8851.03,5.36,15.22
Contil India,531067,,Trading,159,34.85,34.42,4.56,41.58,0,0.47,1075,6.94,47.66,16.35,23.76,2.09,1.41,28.24,26.14,29.82,127.42,30.81,40.23,50.67,33.23,10.53,12.1,16.67,109.07,108.67,100.48,13.65,43.5,19.68,90.51,0.64,1.41,49.1,0.7,-0.4,0.13,0.03,-0.6,16.35,13.92,0,-0.46,-0.72,-1.45,5.15,25.2
Control Print,522295,CONTROLPR,Computers - Hardware,817.75,24,44.98,34.34,52.73,0.02,12.47,-21.32,100.61,13.71,21.83,23.6,23.94,54.46,359.27,20.82,15.52,3.38,21.2,15.64,17.35,14.71,16.39,17.34,17.34,25.04,28.65,29.58,13.48,18.07,304.29,13.53,76.04,54.51,14.71,41.03,8.1,27.29,0.93,74.96,21.83,20.37,1.1,154.45,223.94,271.57,3.92,-20.53
Coral India Fin.,531556,CORALFINAC,Finance - Housing,58.55,11.35,21.93,5.15,75,0,6.88,11.33,7.12,-32.96,15.27,14.16,75.04,20.77,27.68,12.62,13.73,13.37,16.99,20.37,14.38,12.01,11.2,12.63,12.47,63.55,7.52,32.94,11.63,-9.69,30.65,10.73,22.41,20.77,7.29,15.49,4.95,21.94,11.97,31.17,15.27,13.32,0.51,28.88,41.35,45.58,1.29,-4.17
Coral Labs.,524506,,Pharmaceuticals - Indian - Formulations,720,16.16,27.56,44.2,71.51,0,5.79,758.43,28.89,152.53,8.4,12.57,19.41,15.91,83.66,-4.67,-1.69,147.82,5.52,9.26,-0.56,7.29,7.24,6.55,9.58,198.76,19.56,29.23,8.37,7.09,78.12,-1.87,3.82,15.79,5.13,10.26,-6.45,10.72,3.62,4.8,8.4,9.28,0,13.29,10.36,22.95,1.45,57.86
Coral Newsprints,530755,,Paper,11.84,,9.93,-1.23,22.17,,-0.11,-107.59,0,-100,0,,-181.4,-0.62,0.86,-49.56,-45.38,11.43,18.56,-0.33,,,,,,3.86,42.64,10.25,-10.97,-92.82,11.98,-33.99,-2.49,-0.62,-25.04,-1.1,1.13,1.13,1.13,2.56,0,0,0,-3.64,-3.5,-3.47,,19.48
Cords Cable,532941,CORDSCABLE,Cables - Power,229.27,29.12,39.26,7.79,51.86,0.46,3.23,52.36,179.22,26.23,14.26,15.68,6.58,10.07,627.74,24.75,8.54,39.47,32.49,6.56,10.05,17.37,5.16,5.03,6.13,166.59,49.91,34.94,2.88,19.29,526.25,9.94,39.53,10.07,9.09,7.75,24.35,29.12,-3.51,73.53,14.26,14.36,0,94.76,154.94,192.5,1.75,94.79
Coromandel Engg.,533167,,Construction,63.45,,37.63,-1.32,74.57,4.81,-1.07,29.61,21.59,-22.95,-4.97,-2,0.79,-4.57,96.64,-3.79,16.15,29.58,16.39,10.04,4.99,4.03,,,,57.64,19.7,24.69,-6.08,-23.61,126.51,17.45,0.56,-4.4,-6.98,-7.72,10.52,-7.92,0.01,21.91,-4.97,-4.75,0,23.29,32.58,16.47,60.77,15.03
Coromandel Inter,506395,COROMANDEL,Fertilizers,1610.65,28.94,34.13,55.78,57.32,0.05,163.91,-34.95,3912.72,-28.55,33,26.04,10.75,1640.64,22058.39,15.86,10.77,-18.2,7.17,17.26,19.36,16.17,25.17,24.03,18.94,67.65,21.62,32.48,10.91,-25.55,29627.9,11.92,2901.67,1640.64,8.18,1516.25,910.24,22.81,687.75,2734.51,33,31.31,0.37,4096.71,10108.83,10898.49,5.03,35.58
COSCO (India),530545,,Trading,328,42.51,34.42,7.71,74.98,1.14,0.85,8400,49.19,19.08,7.74,9.57,6.43,3.21,176.55,6.06,5.85,386.36,-10.32,1.23,-4.37,-1.33,5.5,4.16,6.66,86.58,19.68,23.75,2.68,15.76,152.52,3.74,7.3,3.21,5.33,2.41,4.93,2.05,-2.63,11.44,7.74,8.62,0,17.92,25.32,25.95,2.74,20.39
Cosmo Ferrites,523100,,Electronics - Components,204,,93.95,-1.65,63.65,2.25,-0.52,-446.67,25.69,7.31,18.86,5.12,7.35,-1.62,97.76,15.38,4.51,-153.82,,7.81,-14.03,,10.02,23.48,-5.18,-12.5,70.86,76.56,-1.32,-8.9,107.31,5.75,10.75,-1.98,5.58,2.37,1.41,-19.3,2.32,-15.63,18.86,10.72,0,16.41,10.99,12.63,8.1,-12.75
Cosmo First,508814,COSMOFIRST,Packaging,889.5,37.54,27.95,23.69,45.04,0.78,15.38,-51.67,641.31,-10.31,18.19,6.99,7.08,62.19,2587.34,4.23,3.71,-74.55,-35.62,2.94,-3.67,12.55,20.56,19.54,4.7,35.2,7.85,43.94,1.87,-15.59,3065.29,7.23,382.87,62.19,5.83,209.58,-48.78,85.32,-12.71,235.23,18.19,18.41,0.56,1191.59,1767.47,1992.69,1.73,35.72
COSYN,538922,,Computers - Software - Medium / Small,42.5,796.88,38.53,0.05,55.14,0,0.82,8100,4.8,31.51,1.42,1.24,5.87,0.04,15.5,-7.98,-17.09,-86.67,-12.64,-55.68,-51.75,-26.07,1.63,0.46,0.14,25.37,3.31,6.58,0.11,4.45,14.84,-9.62,1.39,0.04,2.17,0.48,-1.9,0.63,0.29,-3.34,1.42,2.91,0,-1.18,4.29,16.88,1.08,16.5
Country Club Hos,526550,CCHHL,Hotels,26.81,,47.37,-0.3,73.8,0.08,6.15,-77.79,12.46,-9.58,0.73,-0.01,-6.95,-4.86,52.36,3.23,-27.67,-138.45,23.87,13.81,,,-8.46,-3.58,-1.55,274.33,59.12,38.65,-0.76,-18.39,64.16,-26.53,-28.61,-4.86,-20.13,-35.38,31.93,13.17,-1.59,89.4,0.73,-0.7,0,-86.98,-394.75,-253.94,1.4,70.81
Country Condo,531624,COUNCODOS,Construction,6.6,31.95,37.63,0.21,53.86,0.08,0.05,-77.27,5.92,-0.67,3.74,8.16,5.57,1.61,25.32,26.73,4.49,98.77,51.83,25.36,14.09,11.34,2.81,2.79,6.79,62.72,30.72,25.11,4.82,20,21.1,-0.98,1.35,1.61,12.17,0.59,-0.51,-1.88,-0.36,-0.7,3.74,4.61,0,-4.03,-2.79,-4.46,2.09,16.64
Craftsman Auto,543276,CRAFTSMAN,Auto Ancillaries,5428.1,42.65,37.01,144.11,48.7,1.06,70.53,-19.74,1105.34,12.75,19.53,19.99,19.74,303.76,4451.73,41.84,19.62,22.42,46.31,25.63,21.12,,15.91,18.66,20.02,39.19,40.06,,7.91,39.88,3182.6,22.08,683.61,337.33,,171.04,-114.77,268.06,-2.11,270.19,19.53,17.03,0.2,1448.18,2116.84,2759.54,6.95,10.88
Cranes Software,512093,,Computers - Software - Medium / Small,7.14,,38.53,-1.55,5.99,,1.04,-96.54,2.3,-1.71,23.69,,-108.15,-7.54,7.12,-50.47,-22.56,92.89,17.36,9.47,9.73,6.94,,,,131.82,19.25,47.29,-55.46,11.6,6.38,-42.08,-56.71,-18.2,-32.05,-36.73,-18.69,-4.93,-0.56,-88.64,23.69,0.63,0,-88.15,-95.52,-422.86,,44.83
Cranex,522001,,Engineering,100.15,39.53,44.94,2.53,42.92,2.46,0.88,166.67,21.22,31.39,8.19,10.1,4.7,1.52,62.11,20.32,14.82,145.16,27.69,18.16,17.21,16.5,9.86,10.19,14.81,233.83,88.09,49.64,2.82,50.1,41.38,15.42,2.26,1.52,15.97,0.87,-1.86,-0.69,-0.13,-4.36,8.19,7.56,0,-1.37,0.47,-0.74,5.45,69.46
Cravatex,509472,,Trading,457.15,24.42,34.42,18.69,75,0,0.5,-85.21,50.68,-39.48,-6.51,6.87,-3.78,4.83,202.63,-27.51,-22.35,110.7,29.27,-14.48,12.97,-0.1,,,5.06,14.98,15.77,5.28,3.7,-59.77,503.66,-3.82,-29.79,4.83,-1.83,-19.04,15.67,181.69,18.36,188.09,-6.51,-4,0.66,155.04,183.24,166.04,1.2,-24.04
Creative Eye,532392,CREATIVEYE,Entertainment / Electronic Media Software,6.4,,44.59,-1.29,56.26,0.31,-0.54,14.29,0.16,-33.33,-2.38,-6.25,-544.68,-2.59,0.47,-57.52,-56.13,-564.1,,8.14,,,-7.63,-6.21,-11.95,60,28.73,31.79,-8.74,-76.02,1.96,-40.27,-1.56,-2.59,-30.4,-1.8,-1.79,-0.44,-1.21,-4.03,-2.38,-3.92,0,-4.41,-4.91,-10.54,0.62,29.29
CreditAcc. Gram.,541770,CREDITACC,Finance & Investments,1283.6,14.13,24.42,90.72,66.58,3.32,396.99,33.87,1457.49,36.8,12.25,14.74,71.94,1445.93,5166.67,36.58,32.14,75.05,116.55,35.05,51.13,56.29,15.44,18.26,24.77,3.24,21.51,21.68,5.7,48.17,3487.03,32.83,2307.62,1445.93,42.85,618.99,-4754.18,-3307.03,-239.11,-10802.39,12.25,11.3,0,-10737.12,-13403.39,-16507.06,3.18,-24.17
Cressanda Railwa,512379,,Trading,12.4,47.59,34.42,0.33,0.07,0.14,2.89,51.31,65.45,337.5,11.82,12.55,3.7,10.81,204.67,,,112.8,,,,,,,11.15,-54.58,114.87,128.29,9.35,135.9,86.76,,2.78,13.8,,,-47.41,-65.44,-10.5,-117.72,11.82,11.82,0,-102.15,,,4.07,-50.44
CRISIL,500092,CRISIL,Miscellaneous,4355.15,48.99,37.62,88.96,66.65,0.02,137.72,-5.51,737.68,3.19,40.05,41.36,27.1,650.41,3162.31,16.57,12.42,10.52,22.53,12.29,12.79,9.84,30.69,31.65,32.3,13.88,18.18,24.84,20.92,9.47,2768.72,10.63,729.64,658.44,10.95,461.43,721.21,417.45,29.33,1568.78,40.05,39.85,1.24,1639.79,2586.12,3255.35,14.54,6.03
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,427.65,62.52,93.58,6.84,0,0.23,133.43,1.73,1961,9.49,17.83,15.82,9.76,439.92,7312.81,15.04,10.3,-5.03,-9.69,1.85,,,24.48,19.68,15.55,44.66,-1.45,13.21,7.53,6.45,6869.61,,770.47,441.78,,517.03,762.9,481.77,-94.78,1810.43,17.83,24.72,0.69,2132.35,3373.56,3987.9,9.17,29.55
CSL Finance,530067,CSLFINANCE,Finance & Investments,472,16.98,24.42,27.81,47.71,1.06,18.57,56.05,46.65,38.88,13.71,14.68,77.86,63.36,165.65,39.01,23.42,38.86,32.01,21.64,21.28,24.5,12.7,13.59,15.16,46.77,58.28,36.39,7.18,41.22,117.3,22.32,89.5,63.36,3.73,38.49,-129.3,-168.63,27.34,-459.75,13.71,13.53,0.53,-452.83,-397.67,-521.85,2.26,10.25
Cummins India,500480,CUMMINSIND,Engines,3985.8,66.47,44.6,59.91,51,0.02,561.52,76.3,2316.15,20.26,27.95,36.12,19.66,1661.93,8958.6,27.43,9.62,50.33,37.9,18.69,12.41,11.03,20.01,22.8,28.83,110.52,66.6,39.41,20.76,15.68,7744.43,8.45,1242.61,1660.62,8.46,958.44,998.87,657.13,213.85,2433.57,27.95,23.86,0.95,2798.22,4185.05,5369.46,17.93,95.8
Cupid,530843,CUPID,Miscellaneous,87.89,59,34.81,1.49,44.8,0.04,23.72,184.41,62.9,51.57,21.85,22.36,29.28,39.85,171.09,6.11,14.89,27.15,12.32,21.39,9.91,86.09,21.23,16.69,17.01,609.54,93.31,72.72,15.67,7.46,159.22,10.76,41.31,39.85,24.24,31.1,-17.16,30.21,-0.1,14.65,21.85,28.72,0.28,50.79,111.48,133.29,11.5,9.81
Cyient,532175,CYIENT,Computers - Software - Medium / Small,1796.8,27.39,38.53,61.57,23.16,0.18,196.9,7.82,1860.8,6.25,20.68,21.88,18.23,727.58,7147.2,20.04,9.13,33.44,25.99,8.69,10.6,10.58,16.12,17.61,18.84,28.25,28.24,27.29,11.15,18.81,6015.9,10.36,1003.1,702.8,12.47,500.03,647.9,488.7,-561.6,1708.5,20.68,18.8,1.67,1914.5,3352.7,4019.1,4.68,-16.48
D B Corp,533151,DBCORP,Entertainment / Electronic Media Software,371.55,15.56,19.59,23.89,71.93,0.11,122.53,198.64,617.14,16.23,15.87,25.43,25.95,425.52,2402.09,16.8,-0.5,150.14,46.98,9.13,1.77,3.3,12.3,12.64,20.41,124.64,50.73,14.44,15.27,12.82,2129.22,0.89,323.58,425.52,2.59,230.16,536.61,219.48,-32.02,1096.48,15.87,15.4,3.5,1193.47,1930.67,2530.04,2.98,26.32
Dabur India,500096,DABUR,Personal Care - Indian,630.2,61.68,47.75,10.4,66.25,0.14,341.22,16.55,2814.64,5.11,24.03,22.28,19.35,1811.31,12404.01,9.06,7.81,7.26,2.28,3.89,5.1,7.23,21.62,20.3,19.23,10.04,1.9,9.02,12.59,7.58,11529.89,7.22,2162.49,1811.31,5.8,1702.77,1452.59,1002.72,-129.6,3888.44,24.03,25.4,0.87,5304.23,9032.52,11623.15,11.32,14.17
Dalmia Bharat,500097,DALMIASUG,Sugar,418.75,14.13,16,33.59,74.91,0.49,93.37,-25.46,749.56,-34.77,11.91,9.84,14.93,239.96,2898.8,2.58,7.51,-2.59,-2.74,5.57,3.76,52.89,11.23,10.26,8.51,13.04,-3.5,33.75,5.36,-10.86,3252.01,8.05,436.59,271.72,9.31,247.21,-577.58,365.03,-28.82,21.38,11.91,12.45,1.2,795.47,1350.75,1789.6,1.15,4.3
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,1867.6,45.69,25.54,44.04,55.84,0.29,320,-55.02,4307,10.01,7.39,6.71,17.96,766.08,14691,13.27,9.15,-30.59,-13.26,30.99,65.01,,5.8,5.65,4.78,-11.68,-4.34,12.71,2.97,8.4,13552,10.2,2328,853,,795.29,-88,-449,94,-361,7.39,7.3,0.48,6819,12763,16212,2.12,-19.57
Data Pattern,543428,DATAPATTNS,Electronics - Components,3269.7,103.04,85.48,32.45,42.41,0,71.1,28.43,182.29,-1.52,24.26,19.71,42.64,177.59,519.8,32.4,31.73,43.34,47.31,87.32,118.37,38.46,16.67,15.77,14.26,74.35,,,11.36,14.63,453.45,39.94,171.81,181.69,23.5,94.39,52.18,-56.73,38.1,9.44,24.26,26.39,0.19,174.33,231.12,237.29,13.8,69.78
DCB Bank,532772,DCBBANK,Banks - Private Sector,135.15,7.91,12.51,17.13,14.77,10.96,155.68,9.47,1444.6,22.5,6.84,7.52,70.43,535.86,5362.04,15.74,12.01,14.96,16.85,10.48,15.13,13.45,9.87,9.9,11.12,8.03,9.25,-10.72,0.93,27.66,4200.27,14.52,2778.45,535.97,16.87,392.78,-1372.74,-1730.48,-1722.34,-1653.76,6.84,7.05,0.92,-1199.48,-2530.91,-2582.2,0.83,-13.64
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,781.2,22.29,42.14,35.05,45.63,0.77,219.63,-15.73,2086.28,-25.37,18.73,11.64,14.83,442.51,8676.09,14.31,5.17,-62.74,3.75,50.42,16.28,6.29,15.57,17.67,8.45,28.46,20.91,50.4,3.93,-23.23,11300.69,11.11,2165.44,457.23,8.31,545.5,-94.28,-715.5,118.16,-587.78,18.73,15.24,1.09,2435.95,4261.72,5440.22,1.82,19.51
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,2700.9,49.02,42.14,59.45,49.13,0.06,253.85,-16.26,2126.21,8.4,32.16,22.3,14.62,752.16,7681.83,20.78,23.26,-10.81,-1.06,33.69,48.83,,28.36,24.16,16.93,35.94,11.65,55.17,13.4,-3.64,7972.06,27.92,1292.43,810.89,,810.05,109.6,290,14.79,1037.29,32.16,34.81,0.28,2351.82,4118.38,4361.66,7.68,9.32
