Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Bal Pharma,524824,BALPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,122.48,26.29,36.02,4.68,51.23,2.02,5.53,241.88,94.63,14.77,11.08,12.05,9.29,7.39,339.22,10.63,8.56,189.76,16.37,28.01,54.43,3.84,2.49,8.16,11.11,32.99,7.64,19.06,2.36,11.53,304.14,5.78,25.25,7.44,6.61,1.47,11.84,-16.49,0.37,13.68,11.08,8.53,0.82,47.77,93.35,101.69,2.79,3.1
Balaji Amines,530999,BALAMINES,Chemicals,2348.9,37.21,42.14,63.22,53.7,0.01,72.48,43.49,413.94,-12.19,33.88,16.76,19.81,204.53,1633.91,7.69,11.69,-36.87,-4.86,11.8,14.23,19.84,22.38,21.81,12.49,5.05,-5.66,47.31,11.29,-30.34,2345.61,13.64,609.11,232.3,10.4,246.36,-28.38,233.91,63.23,277.3,33.88,30.86,0.47,797.76,1051.83,1286.02,4.42,-5.92
Balaji Telefilms,532382,BALAJITELE,Entertainment / Electronic Media Software,71.49,37.49,44.59,1.95,34.21,0.18,-2.61,-136.25,135.11,-6.52,-6.89,8.58,7.35,19.38,625.13,28.63,7.89,141.65,29.06,17.07,14.18,10.48,-12.81,-11.79,4.63,63.76,1.76,5.07,2.76,5.43,592.96,5.89,-19.54,19.38,4.37,-69.51,58.72,-40.91,9.88,-103.99,-6.89,-8.32,0,-100.97,-245.05,-527.18,1.68,-24.12
Balkrishna Inds,502355,BALKRISIND,Tyres,3187.85,42.78,27.52,76.12,58.29,0.35,486.75,87.36,2681.92,15.75,18.42,17.62,24.08,1440.31,9368.87,17.45,12.45,44.18,7.38,13.87,12.2,11.74,18.11,17.58,17.55,39.54,11.82,34.21,11.07,-4,9759.53,14.09,1712.09,1471.49,9.54,1168.1,1001.29,-304.32,23.39,16.07,18.42,19.21,0.5,4438.61,6950.78,8521.13,6.96,19.6
Balmer Law. Inv.,532485,,Finance & Investments,914.4,12.08,24.42,75.68,59.67,0.09,75.15,67.79,579.28,-5.09,13.76,17.83,13.33,168,2348.19,14.54,5.27,52.3,28.23,5.22,,,9.87,10.77,14.4,122.78,23.71,16,9.06,0.56,2335.08,,225.32,263.76,,110.04,216.62,155.94,12.63,378.12,13.76,12.69,3.61,498.08,931.96,,1.66,67.15
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large,295.95,19.63,25.12,15.29,0,0.06,73.35,69.44,576.69,-5.16,11.41,15.63,13.02,257.4,2339.23,15.31,5.71,54.34,30.85,5.68,7.54,5.11,10.28,11.23,14.7,119.79,28.93,19.68,9.3,1.2,2311.56,4.64,202.44,257.4,-2.84,165.1,222.04,157.84,12.42,364.35,11.41,10.64,2.53,484.3,916.49,1239.27,2.78,19.21
Balrampur Chini,500038,BALRAMCHIN,Sugar,431.25,16.27,16,26.49,42.9,0.59,203.39,-20.07,1434.26,-3.84,14.24,16.22,14.05,534.47,5593.74,5.15,5.47,88.52,4.07,-1.18,-2.01,59.81,16.8,14.79,16.98,12.77,7.97,23.86,9.28,19.89,4665.86,7.1,521.54,534.47,7.7,452.33,-43,-390.63,-0.01,-135.45,14.24,15.02,0.7,1325.4,2824.22,3481.05,2.56,9.34
Balurghat Tech,520127,,Miscellaneous,29.46,21.8,40.42,1.35,33.63,0.68,1.03,415,20.03,18.73,10.76,14.16,4.97,2.46,79.33,-4.98,7.8,86.36,67.55,25.19,25.56,14.24,6.43,8.64,14.77,158.19,41.04,45.61,7.69,23.05,64.47,10.99,3.1,2.46,7.76,1,1.05,2.71,0.46,6.59,10.76,10.68,0,7.66,-1.75,-5.99,3.51,57.12
Bambino Agro Ind,519295,,Food - Processing - Indian,361.5,26.49,39.71,13.65,74.96,0.75,1.74,171.88,75.83,6.62,12.65,13.13,8.23,10.93,332.45,6.45,6.11,18.68,18.01,17.17,16.6,9.4,11.27,12.08,12.36,23.21,12.44,19.07,5.36,10.81,300.01,7.1,21.07,10.93,3.69,8.15,17.28,-7.46,-0.97,22.52,12.65,12.12,0.44,55.39,104.41,105.81,3.1,-13.6
BAMPSL Sec.,531591,,Finance & Investments,8.98,78.37,24.42,0.11,10.83,0,0.33,0,0.54,-78.4,1.12,1.29,-1.67,0.39,8.38,149.43,-10.84,-9.3,169.16,42.62,21.46,-11.68,0.3,0.91,1.03,-9.75,52.14,46.96,1.02,168.59,3.12,28.61,-0.03,0.39,6.27,0.11,0.02,-0.14,0,-2.13,1.12,0.42,0,-2.13,-4.12,-11.45,0.8,-11.44
